,Product,Review,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars,Avg Rating,Price,Link
0,"Apple iPhone 14 (128GB, Blue)",Its a very good product.,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
1,"Apple iPhone 14 (128GB, Blue)",So far good,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
2,"Apple iPhone 14 (128GB, Blue)",Wonderful,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
3,"Apple iPhone 14 (128GB, Blue)",Good,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
4,"Apple iPhone 14 (128GB, Blue)",Very good performance,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
5,"Apple iPhone 14 (128GB, Blue)",Great Product,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
6,"Apple iPhone 14 (128GB, Blue)",Phone heats up while charging,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
7,"Apple iPhone 14 (128GB, Blue)",Great product,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
8,"Apple iPhone 14 (128GB, Blue)",Very nice,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
9,"Apple iPhone 14 (128GB, Blue)",Nice experience,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
10,"Apple iPhone 14 (128GB, Blue)",It was great.,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
11,"Apple iPhone 14 (128GB, Blue)",Ok good,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
12,"Apple iPhone 14 (128GB, Blue)",Great,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
13,"Apple iPhone 14 (128GB, Blue)",Got the best deal,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
14,"Apple iPhone 14 (128GB, Blue)",Could be better,172,20,2,4,6,['4.7 '],"[' ₹70,990.00 ']",https://www.croma.com/apple-iphone-14-128gb-blue-/p/261934
